date,transaction_id,product_id,product_name,category,store,quantity,unit_price,payment_method
2026-01-31,T1000,P006,Full Cream Milk 2L,Dairy,Sandton,9,34.0,Cash
2026-06-03,T1001,P010,Beef Mince 1kg,Meat,Pretoria,9,135.0,Mobile
2026-05-31,T1002,P008,Tomatoes 1kg,Produce,Sandton,4,30.0,Card
2026-01-29,T1003,P005,Cheddar Cheese 500g,Dairy,Sandton,14,95.0,Mobile
2026-01-03,T1004,P008,Tomatoes 1kg,Produce,Soweto,11,30.0,Cash
2026-04-12,T1005,P005,Cheddar Cheese 500g,Dairy,Soweto,6,95.0,Mobile
2026-05-12,T1006,P002,Rooibos Tea 100g,Beverages,Soweto,12,55.0,Card
2026-05-23,T1007,P009,Chicken Breasts 1kg,Meat,Soweto,5,120.0,Mobile
2026-02-06,T1008,P010,Beef Mince 1kg,Meat,Sandton,5,135.0,EFT
2026-04-04,T1009,P008,Tomatoes 1kg,Produce,Sandton,7,30.0,Mobile
2026-05-30,T1010,P009,Chicken Breasts 1kg,Meat,Sandton,8,120.0,Mobile
2026-05-10,T1011,P010,Beef Mince 1kg,Meat,Pretoria,15,135.0,Mobile
2026-05-15,T1012,P005,Cheddar Cheese 500g,Dairy,Pretoria,14,95.0,Mobile
2026-05-12,T1013,P009,Chicken Breasts 1kg,Meat,Sandton,13,120.0,Cash
2026-02-03,T1014,P001,Coffee Beans 1kg,Beverages,Sandton,12,180.0,Mobile
2026-05-01,T1015,P003,Whole Wheat Bread,Bakery,Rosebank,,28.0,Card
2026-06-10,T1016,P008,Tomatoes 1kg,Produce,Pretoria,11,30.0,EFT
2026-05-24,T1017,P007,Bananas 1kg,Produce,Soweto,11,24.0,Mobile
2026-04-13,T1018,P007,Bananas 1kg,Produce,Soweto,4,24.0,EFT
2026-01-03,T1019,P001,Coffee Beans 1kg,Beverages,Pretoria,3,180.0,Mobile
2026-04-03,T1020,P004,Croissant,Bakery,Pretoria,5,22.5,Mobile
2026-05-11,T1021,P008,Tomatoes 1kg,Produce,Pretoria,13,30.0,Card
2026-03-16,T1022,P006,Full Cream Milk 2L,Dairy,Sandton,8,34.0,Mobile
2026-06-26,T1023,P009,Chicken Breasts 1kg,Meat,Pretoria,5,120.0,Cash
2026-04-19,T1024,P008,Tomatoes 1kg,Produce,Soweto,2,30.0,Mobile
2026-04-05,T1025,P002,Rooibos Tea 100g,Beverages,Pretoria,4,55.0,Cash
2026-04-26,T1026,P001,Coffee Beans 1kg,Beverages,Sandton,2,180.0,Mobile
2026-05-29,T1027,P009,Chicken Breasts 1kg,Meat,Sandton,15,120.0,Cash
2026-03-05,T1028,P002,Rooibos Tea 100g,Beverages,Sandton,10,55.0,EFT
2026-06-21,T1029,P006,Full Cream Milk 2L,Dairy,Sandton,3,34.0,EFT
2026-06-20,T1030,P010,Beef Mince 1kg,Meat,Pretoria,10,135.0,Cash
2026-05-20,T1031,P004,Croissant,Bakery,Rosebank,8,22.5,EFT
2026-01-22,T1032,P007,Bananas 1kg,Produce,Rosebank,11,24.0,Cash
2026-05-31,T1033,P005,Cheddar Cheese 500g,Dairy,Pretoria,9,95.0,Mobile
2026-02-08,T1034,P009,Chicken Breasts 1kg,Meat,Rosebank,13,120.0,Mobile
2026-01-04,T1035,P002,Rooibos Tea 100g,Beverages,Sandton,7,55.0,Card
2026-03-30,T1036,P006,Full Cream Milk 2L,Dairy,Sandton,15,34.0,Card
2026-05-11,T1037,P008,Tomatoes 1kg,Produce,Soweto,6,30.0,Mobile
2026-03-25,T1038,P002,Rooibos Tea 100g,Beverages,Pretoria,8,55.0,Cash
2026-02-09,T1039,P010,Beef Mince 1kg,Meat,Rosebank,9,135.0,Mobile
2026-06-09,T1040,P006,Full Cream Milk 2L,Dairy,Rosebank,8,34.0,Card
2026-05-21,T1041,P007,Bananas 1kg,Produce,Rosebank,1,24.0,Cash
2026-01-12,T1042,P009,Chicken Breasts 1kg,Meat,Sandton,15,unknown,Mobile
2026-06-14,T1043,P004,Croissant,Bakery,Sandton,8,22.5,Cash
2026-06-15,T1044,P009,Chicken Breasts 1kg,Meat,Rosebank,4,120.0,Cash
2026-06-19,T1045,P003,Whole Wheat Bread,Bakery,Soweto,7,28.0,Mobile
2026-05-17,T1046,P007,Bananas 1kg,Produce,Sandton,14,24.0,Mobile
2026-03-20,T1047,P003,Whole Wheat Bread,Bakery,Rosebank,6,28.0,EFT
2026-04-29,T1048,P008,Tomatoes 1kg,Produce,Pretoria,13,30.0,EFT
2026-04-30,T1049,P003,Whole Wheat Bread,Bakery,Pretoria,6,28.0,Mobile
2026-01-31,T1050,P009,Chicken Breasts 1kg,Meat,Soweto,13,120.0,Card
2026-02-24,T1051,P004,Croissant,Bakery,Sandton,1,22.5,Mobile
2026-06-15,T1052,P006,Full Cream Milk 2L,Dairy,Rosebank,7,34.0,Card
2026-04-01,T1053,P003,Whole Wheat Bread,Bakery,Rosebank,6,28.0,Card
2026-06-08,T1054,P005,Cheddar Cheese 500g,Dairy,Rosebank,9,95.0,EFT
2026-05-25,T1055,P005,Cheddar Cheese 500g,Dairy,Rosebank,11,95.0,Card
2026-03-09,T1056,P002,Rooibos Tea 100g,Beverages,Rosebank,7,55.0,Card
2026-06-25,T1057,P001,Coffee Beans 1kg,Beverages,Soweto,13,180.0,Cash
2026-06-15,T1058,P002,Rooibos Tea 100g,Beverages,Soweto,9,55.0,EFT
2026-05-31,T1059,P002,Rooibos Tea 100g,Beverages,Soweto,5,55.0,Cash
2026-03-08,T1060,P005,Cheddar Cheese 500g,Dairy,Sandton,2,95.0,Mobile
2026-03-07,T1061,P007,Bananas 1kg,Produce,Sandton,1,24.0,Card
2026-03-02,T1062,P001,Coffee Beans 1kg,Beverages,Sandton,5,180.0,Card
2026-06-25,T1063,P009,Chicken Breasts 1kg,Meat,Soweto,10,120.0,EFT
2026-04-27,T1064,P010,Beef Mince 1kg,Meat,Sandton,11,135.0,Mobile
2026-03-22,T1065,P010,Beef Mince 1kg,Meat,Pretoria,4,135.0,Mobile
2026-06-23,T1066,P002,Rooibos Tea 100g,Beverages,Soweto,11,55.0,EFT
2026-04-10,T1067,P005,Cheddar Cheese 500g,Dairy,Soweto,14,95.0,Card
2026-04-22,T1068,P001,Coffee Beans 1kg,Beverages,Soweto,5,180.0,EFT
2026-02-01,T1069,P005,Cheddar Cheese 500g,Dairy,Pretoria,13,95.0,EFT
2026-05-30,T1070,P001,Coffee Beans 1kg,Beverages,Soweto,9,180.0,Cash
2026-05-24,T1071,P001,Coffee Beans 1kg,Beverages,Sandton,12,180.0,Cash
2026-06-08,T1072,P002,Rooibos Tea 100g,Beverages,Sandton,2,55.0,Cash
2026-05-14,T1073,P006,Full Cream Milk 2L,Dairy,Soweto,10,34.0,Card
2026-04-19,T1074,P010,Beef Mince 1kg,Meat,Soweto,3,135.0,Mobile
2026-04-09,T1075,P007,Bananas 1kg,Produce,Pretoria,4,24.0,Cash
2026-02-02,T1076,P003,Whole Wheat Bread,Bakery,Sandton,9,28.0,Mobile
2026-03-07,T1077,P003,Whole Wheat Bread,Bakery,Sandton,4,28.0,Card
2026-03-12,T1078,P009,Chicken Breasts 1kg,Meat,Pretoria,8,120.0,EFT
2026-03-22,T1079,P003,Whole Wheat Bread,Bakery,Sandton,11,28.0,Cash
2026-05-22,T1080,P001,Coffee Beans 1kg,Beverages,Soweto,11,180.0,EFT
2026-06-12,T1081,P009,Chicken Breasts 1kg,Meat,Soweto,13,120.0,Card
2026-06-18,T1082,P001,Coffee Beans 1kg,Beverages,Rosebank,11,180.0,Mobile
2026-01-15,T1083,P004,Croissant,Bakery,Rosebank,11,22.5,Mobile
2026-07-01,T1084,P006,Full Cream Milk 2L,Dairy,Rosebank,13,34.0,EFT
2026-03-29,T1085,P004,Croissant,Bakery,Soweto,6,22.5,Mobile
2026-06-13,T1086,P008,Tomatoes 1kg,Produce,Pretoria,9,30.0,EFT
2026-02-18,T1087,P003,Whole Wheat Bread,Bakery,Pretoria,11,28.0,Cash
2026-02-18,T1087,P003,Whole Wheat Bread,Bakery,Pretoria,11,28.0,Cash
2026-06-13,T1089,P003,Whole Wheat Bread,Bakery,Soweto,2,28.0,EFT
2026-05-20,T1090,P005,Cheddar Cheese 500g,Dairy,Sandton,3,95.0,Card
2026-05-17,T1091,P004,Croissant,Bakery,Soweto,14,22.5,Card
2026-04-11,T1092,P007,Bananas 1kg,Produce,Rosebank,9,24.0,Card
2026-01-22,T1093,P003,Whole Wheat Bread,Bakery,Pretoria,12,28.0,EFT
2026-05-21,T1094,P005,Cheddar Cheese 500g,Dairy,Sandton,5,95.0,Cash
2026-02-11,T1095,P005,Cheddar Cheese 500g,Dairy,Soweto,5,95.0,EFT
2026-02-04,T1096,P007,Bananas 1kg,Produce,Sandton,4,24.0,Mobile
2026-04-19,T1097,P006,Full Cream Milk 2L,Dairy,Rosebank,13,34.0,Card
2026-02-15,T1098,P006,Full Cream Milk 2L,Dairy,Rosebank,9,34.0,Cash
